player_name,actual_value,predicted_value
G. Donsah,10500000.0,9781060.243021086
R. Edwards,675000.0,649902.0682840341
Carlos Travisso,150000.0,186193.43217084702
Álex Cobo,800000.0,916763.3807477116
O. Ribera,0.0,0.0
S. Al Dawsari,4300000.0,3340282.7913811826
J. Baxter,70000.0,69637.2253503458
David Rodríguez,850000.0,939095.2524226606
Guilherme Oliveira,350000.0,434141.19151912525
D. Byrtek,250000.0,283570.01720293675
M. Batshuayi,19500000.0,17700269.281206675
S. Khaoui,4100000.0,3953768.6517072474
P. Mina,525000.0,449643.45378671447
T. Fountas,725000.0,725542.2956256402
Carlos Martínez,1300000.0,1939274.0759992844
Chen Yajun,60000.0,56250.95599488802
M. Ødegaard,9000000.0,8695866.561172692
C. Robertson,170000.0,213983.24896694822
I. Ugbo,550000.0,497010.49030449986
D. Parker,190000.0,178497.681823692
C. Kum,350000.0,484490.9148347958
E. Gómez,400000.0,451527.8538525129
Luciano Cacheira,425000.0,601069.5853417818
K. Awuah,130000.0,123976.60690745132
F. Brorsson,260000.0,214348.123427942
Alberto Varo,450000.0,491658.28749815555
R. Gutiérrez,1400000.0,2495150.4677852406
T. Sekine,1000000.0,892929.6200002492
Juli Freitinho,5500000.0,5454047.81439725
M. Sayouba,850000.0,976213.4465661261
D. Błanik,140000.0,123976.60690745132
D. Webster,120000.0,117505.54967407272
L. White,190000.0,178497.681823692
G. Montiel,3200000.0,3110864.506939243
A. Elmohamady,2200000.0,2303898.706454902
I. Alhassan,775000.0,841402.1061537925
Jeon Se Jin,625000.0,594201.9944771518
R. Stearman,775000.0,715695.3738743805
J. Hooper,210000.0,188924.33044664015
F. Onyeka,550000.0,495660.7355420398
C. Kouan,525000.0,497404.27382197743
I. Brown,2900000.0,2651545.9446348185
J. Grant,1200000.0,1174636.0509746887
O. Tufan,6500000.0,6860561.42438012
M. Bustgaard Larsen,120000.0,114167.46548635144
V. Morales,525000.0,505187.37280703435
M. Laínez,875000.0,804526.7783517682
Avto,950000.0,785753.6896377167
M. Mouandilmadji,1300000.0,1244251.2068238056
F. Noguera,1200000.0,1103109.8961978834
K. Kaïboue,240000.0,248838.91878642165
Evandro,525000.0,390175.97500107624
I. Tarasovs,500000.0,484490.9148347958
R. Raldes,0.0,57183.59768907563
A. Dávila,650000.0,623326.5029117495
A. Guðmundsson,1900000.0,1612146.0085816586
Cui Yongzhe,100000.0,118509.54741663128
C. Terzi,950000.0,1747351.819559657
Ricardo Schutte,575000.0,568416.8331099097
J. Vardy,20000000.0,16219355.942429218
T. Schick,900000.0,783201.71770724
K. Choi,525000.0,461121.1417020507
J. Serra,1100000.0,1019959.3503165655
A. Voglsammer,2900000.0,2828866.411673162
S. McKenna,1800000.0,1966179.1534291175
J. Sorbon,1200000.0,2787871.8192422665
J. Nation,700000.0,656019.7970869987
Z. Elbouzedi,575000.0,533567.532548304
M. Harriman,550000.0,505187.37280703435
D. Hutchinson,120000.0,123976.60690745132
S. Ujkani,2100000.0,1753406.3858783268
P. Smyth,550000.0,496671.97106403456
L. Hurtado,425000.0,392021.8956505542
S. Al Faraj,5500000.0,5034430.514010087
J. Garner,2300000.0,2110536.032072255
B. Kuipers,500000.0,486997.414195868
S. Belkahia,120000.0,126085.63374008419
E. Kachunga,2800000.0,2651008.424240557
A. Smith,6500000.0,6847918.961914711
D. Boyata,6500000.0,6186152.083434352
B. Sigurðarson,0.0,163754.82149429517
T. Ugajin,725000.0,505034.6946712049
M. Grösch,425000.0,451527.8538525129
H. Menosse,1200000.0,1186752.6598036038
B. Slisz,90000.0,91994.61944073292
B. Džemaili,6500000.0,8093764.464570064
S. Wamangituka,260000.0,251816.4883317712
S. Kutschke,900000.0,661926.6204030602
R. Taylor,210000.0,184622.0035994184
G. Donyoh,1100000.0,966712.1785632181
D. Pedersen,600000.0,692980.0828339413
Che Shiwei,270000.0,243599.0647994059
J. Wildsmith,800000.0,916763.3807477116
M. Tekdemir,3000000.0,3328421.0020345
C. Penilla,2500000.0,1932114.6346183806
A. Goelzer,200000.0,202012.47981200728
J. Muñoz,850000.0,782829.1113242613
P. Selkos,120000.0,114167.46548635144
S. Fofana,9000000.0,8894112.651918381
K. Hawley,40000.0,44196.255224028646
T. Rogić,9500000.0,9519654.818752026
C. Del Grosso,160000.0,505034.6946712049
I. Sayan,475000.0,453990.84335517953
B. Álvarez,325000.0,347568.75904709124
Z. Udovičić,425000.0,340526.2234636608
M. Baudry,825000.0,715695.3738743805
L. Klitten,50000.0,56231.56449928685
A. Ujah,4300000.0,3172136.28916693
K. Mitroglou,8500000.0,7687574.260703678
O. Gaber,0.0,20517.677608045808
J. Piotrowski,1200000.0,1141357.0723843642
B. Corr,230000.0,292687.18867959466
T. Pellenard,1000000.0,1174636.0509746887
Marcos Alonso,24000000.0,22878988.345132813
A. Whitmore,240000.0,265908.2911800451
J. Isijara,2400000.0,2050393.072527525
D. Murphy,400000.0,662826.0334321607
C. N'Doye,800000.0,939654.4720359201
Y. Lawal,575000.0,568416.8331099097
D. Boer,70000.0,601069.5853417818
C. Dyson,375000.0,347568.75904709124
L. Verstraete,925000.0,935323.696826539
F. Ballo-Touré,1600000.0,1567763.9806363368
T. Elrich,350000.0,392495.54688745044
D. Aleksić,2000000.0,1976666.8759172289
G. Lloris,750000.0,772968.1863987391
G. Wojtkowiak,100000.0,290169.0529742305
C. Jopia,525000.0,538624.1266151341
F. Knudsen,850000.0,916072.9650677299
Juan Carlos,575000.0,498167.0997807416
V. Janjetović,425000.0,331818.5866232915
C. Grant,650000.0,649902.0682840341
B. Whiteman,725000.0,777558.1341156014
K. Ogi,20000.0,71189.01905716605
E. Ersoy,2500000.0,2419666.2919105585
J. Raitala,700000.0,656019.7970869987
S. Økland,375000.0,388403.9816045694
Titi,4900000.0,4618930.58401998
Y. Koné,600000.0,649428.1548641208
K. Dobras,525000.0,488311.93521762115
A. Talal,180000.0,188557.50315059285
Li Shuai,90000.0,206955.47870643766
K. Watts,170000.0,182495.37205773822
Pastrana,875000.0,826364.3668887146
C. Operi,425000.0,452737.15624148556
P. Micin,1400000.0,1363448.1205208353
M. Obafemi,750000.0,752924.5757147622
L. Díaz,5500000.0,4984376.844298981
C. Trejo,260000.0,251816.4883317712
C. Burgess,475000.0,486997.414195868
Jin YangYang,500000.0,496591.7458073283
G. Zardes,4800000.0,4503293.581405225
B. Zamora,70000.0,69297.91049381951
F. Öztorun,500000.0,505034.6946712049
Y. Boé-Kane,875000.0,934324.1151100626
V. Luchkevych,1000000.0,966712.1785632181
E. Zelazny,2100000.0,2455083.3943977104
J. Romil,325000.0,289627.5108452881
S. Papagiannopoulos,1000000.0,959316.4870979598
A. Wilkinson,950000.0,1408533.9319269601
Gianluca Zanette,120000.0,118104.70416591162
Yohan Tavares,775000.0,715695.3738743805
M. Caire,1800000.0,2003778.1708125493
U. Bulut,1100000.0,1927276.9088847092
R. Rosales,4300000.0,3837283.057829089
Luimo Boas Santos,12000000.0,10882090.179524269
O. Skúlason,0.0,151763.44746790544
J. Graham,850000.0,777558.1341156014
V. van Dijk,44500000.0,32878181.23045256
T. Breukers,550000.0,505034.6946712049
N. Şahin,10000000.0,9684313.207316026
D. Wheater,1200000.0,1166267.4472850794
P. Bahanack,120000.0,123976.60690745132
M. Akanji,21000000.0,20979260.149572648
D. Gąska,90000.0,86952.74064969522
L. Tankulic,425000.0,360350.9599892651
A. Lithgow,475000.0,483935.31732552196
M. Mak,700000.0,564193.038567237
F. Ciampichetti,625000.0,483935.31732552196
C. Arano,0.0,149538.20861028403
C. Maghoma,240000.0,265908.2911800451
E. Küc,140000.0,126085.63374008419
M. Warcholak,200000.0,213731.21786909032
I. Ssewankambo,750000.0,841402.1061537925
K. Dybowski,110000.0,118104.70416591162
A. Linde,1000000.0,1038890.8805785287
W. Decas,475000.0,533567.532548304
L. Choutesiotis,1100000.0,1074269.2467439203
C. Baumgartner,425000.0,425122.8677137407
M. Bakić,1400000.0,1318737.113122234
D. Steininger,450000.0,395202.1959982222
W. Grigg,2100000.0,1537725.8802589655
B. Godfrey,1100000.0,1128567.55573529
M. van der Maarel,700000.0,659298.5221347352
L. Neagle,475000.0,515634.52531364263
V. Basha,850000.0,931683.2408932287
D. Padilla,200000.0,184685.97011726297
H. Balic,170000.0,161622.57902211364
L. Suárez,4600000.0,4224525.9203155795
W. Pawłowski,270000.0,354066.6551375932
Moon Chang Jin,975000.0,963086.4111482247
Jadson,650000.0,656019.7970869987
F. Bustamante,110000.0,103731.14562834546
N. Ennis,280000.0,251816.4883317712
Zé Luís,14500000.0,12325285.5264922
M. Karlsen,475000.0,340526.2234636608
Marquitos,475000.0,501896.62175647885
J. Mårtensson,425000.0,340526.2234636608
G. Torromino,425000.0,360406.29943617614
E. Bičakčić,6000000.0,5604732.557798003
Choi Beom Kyung,100000.0,95329.90139069721
B. Matuidi,26000000.0,27189286.45026232
Sandro,9500000.0,8776710.817925561
Mica Pinto,650000.0,776358.1255353509
B. Castrejón,120000.0,123976.60690745132
H. Rodríguez,850000.0,935493.7347559679
David Simão,5500000.0,4886329.705442044
R. Nainggolan,35500000.0,30429614.52549497
I. Camara,425000.0,423385.57287675113
R. Al Najjar,60000.0,71400.35014383709
M. Oesterhelweg,675000.0,545695.6550874271
D. Melo,1100000.0,1108638.0054952384
A. Mandi,13000000.0,13882862.996423237
A. Khormi,260000.0,221618.24815671082
Pedro Tiba,3000000.0,2681629.38093517
A. Dønnum,400000.0,360129.4665030353
S. Brown,3600000.0,7893674.525460509
J. Cornejo,2000000.0,2117170.194076809
M. Luongo,6000000.0,6763368.177641762
L. Biglia,12500000.0,17008434.315445088
P. Sabbag,825000.0,749618.5818301116
R. Ovelar,1400000.0,1086106.7769441325
D. Bock,500000.0,451527.8538525129
O. Jiménez,1600000.0,1452080.349061372
Agus,180000.0,340526.2234636608
K. Shibasaki,1100000.0,1594242.3920783678
R. Williams,650000.0,523048.96216721507
J. Sheehan,425000.0,392021.8956505542
L. Montipó,900000.0,1009241.111996291
F. Öztürk,650000.0,601069.5853417818
D. Ba,4200000.0,5462000.340826911
Calero,5500000.0,5119007.82135037
G. Boyd,825000.0,939654.4720359201
F. Kastrati,550000.0,488311.93521762115
O. Aydoğan,600000.0,502039.47605283855
N. Redmond,8500000.0,8264697.974026853
T. Boss,750000.0,869243.8372072108
T. Murg,5000000.0,4829307.253731576
R. Abdullah,1200000.0,1318737.113122234
C. Cortés,450000.0,782394.0703406547
G. Friend,1700000.0,2110536.032072255
D. Moreno,400000.0,360129.4665030353
Lluis López,1100000.0,1050013.7250681873
R. Orsolini,7000000.0,6858702.72503018
T. Moniwa,30000.0,175283.3430944906
M. Uth,17500000.0,14316314.567573017
D. Londoño,600000.0,649428.1548641208
M. Sonnleitner,700000.0,718309.1925211508
A. Vellios,1300000.0,959316.4870979598
D. Padelli,3200000.0,2023861.3546176052
D. Limnios,4600000.0,4219375.507518882
L. Delgado,50000.0,353335.5363853318
M. Schlosser,70000.0,72771.9888510329
K. Roos,270000.0,355037.13253842114
M. Reuvers,375000.0,352376.3889443352
N. Solís,1000000.0,966712.1785632181
C. Arrieta,1300000.0,1263870.1363072162
A. Wakaso,5500000.0,5498210.404934441
C. Cáceda,0.0,76498.56962422201
T. Skarke,925000.0,841402.1061537925
M. Hamzi,425000.0,360363.8868540669
R. Idda,220000.0,224663.47078914312
F. Signorelli,775000.0,505034.6946712049
B. Rovira,1100000.0,1115608.2133096554
Jano,425000.0,484490.9148347958
J. Dunne,300000.0,225325.40075230922
K. Fukuda,90000.0,116868.22756383981
C. Carrillo,700000.0,733664.3467630927
P. Alvarado,1000000.0,901975.0249768994
E. Embleton,325000.0,305177.63990378985
Wang Shangyuan,550000.0,492939.9437114512
M. Onuoha,170000.0,188557.50315059285
Ricardo Esgaio,12500000.0,11837561.590130262
M. Djuricin,1100000.0,1045453.9422283551
R. Hoffmann,160000.0,180076.50039127647
Song Boxuan,550000.0,394106.689808833
M. Kightly,700000.0,631145.5452807992
L. Agbenyenu,3900000.0,3752400.8329586997
F. Kainz,9000000.0,6898085.429109783
A. Fuenmayor,875000.0,905266.6689204982
Ji Xiang,600000.0,505034.6946712049
D. Kamada,4500000.0,4119262.697341762
M. Scavone,475000.0,511076.80657718243
Carvajal,31500000.0,31345099.353261117
D. Blacha,650000.0,560317.1526246533
B. Borrello,1000000.0,966712.1785632181
L. Marseiler,400000.0,360129.4665030353
Li Ang,725000.0,742844.1791344888
Cho Hyun Woo,4700000.0,4552823.791123947
I. Sirelius,350000.0,285301.6661806481
L. Kerrigan,80000.0,69557.41765803812
R. Broom,220000.0,189525.10952474686
P. Jerez,350000.0,389618.32080417575
A. Lennon,7000000.0,6583056.246140807
M. Costly,750000.0,723060.671949849
R. Pasquel,40000.0,47544.99882616005
S. Ascacíbar,12000000.0,13103632.453405859
A. Kenyon,300000.0,339159.6247291901
A. Czaplak,60000.0,70648.25666766932
E. Stokes,220000.0,199350.60050668372
A. Deiola,675000.0,649428.1548641208
S. Nelson,40000.0,144494.24830814716
M. Wada,200000.0,174060.90609790076
S. Sutter,425000.0,505034.6946712049
C. Waters,110000.0,123976.60690745132
J. Verdugo,500000.0,464910.0107030759
J. Fuentes,425000.0,656019.7970869987
A. Damen,450000.0,390495.68744346517
R. Reid,550000.0,391787.11792245886
R. Buess,975000.0,866843.6088597771
D. Kownacki,3200000.0,3064372.566126033
J. Vitale,725000.0,785021.9885775738
J. Defoe,4100000.0,8002332.679628405
M. Godinho,350000.0,369452.9710691583
M. Hasebe,2700000.0,7720353.630196085
J. McCourt,325000.0,327077.37693661527
C. Logan,260000.0,244154.89867494133
Servando,325000.0,715695.3738743805
Andrés Prieto,650000.0,739687.4000302486
C. Pantilimon,1400000.0,1466837.8842385444
J. Ginnelly,950000.0,902929.642512115
O. Kúdela,700000.0,715695.3738743805
D. Castro,90000.0,92299.92113151004
Vítor Bruno,1400000.0,1594242.3920783678
R. Rubin,1100000.0,996134.9513657342
L. Butelle,1600000.0,1405865.2644087938
H. ter Avest,1300000.0,1390309.617369179
C. Gutiérrez,1000000.0,1066946.921764399
J. Espinoza,650000.0,689982.0171699254
J. Broh Tonye,475000.0,402477.38520861533
S. Martinsson Ngouali,3700000.0,3769333.146655364
D. Valdés,950000.0,776308.4183058414
M. Smith,0.0,147052.15931436213
K. Mbodji,7000000.0,7293466.049217642
J. Savarino,5000000.0,4533100.572592632
Michel Cruceiro,3500000.0,2790292.1821454926
R. Métanire,2500000.0,2713433.91544933
C. Spinelli,1300000.0,1258129.962146301
H. Mascorro,725000.0,660236.3430998786
J. Bruijn,625000.0,527305.8946570504
S. Bose,0.0,29466.85380478148
J. Kirkpatrick,190000.0,174769.81526993596
W. Janssens,500000.0,451527.8538525129
Artur,2700000.0,3145528.5535537815
M. Osei Kwadwo,800000.0,752288.6351385989
M. Curry,325000.0,305177.63990378985
C. Benavente,7500000.0,6861334.609811536
Rubén Duarte,8500000.0,8586323.547762094
Lee Sang Ho,550000.0,484490.9148347958
Du Changjie,180000.0,166740.92484648083
T. Thomas,375000.0,395202.1959982222
B. Seymour,70000.0,69297.91049381951
Diego Caballo,1200000.0,1158476.0132853936
A. Ferrari,2000000.0,2033443.4112984904
K. Volland,22000000.0,20153415.367762424
D. Maekawa,70000.0,88851.40217870144
N. Neidhart,525000.0,505379.0010769549
J. Vall,110000.0,127519.23946819213
M. Rasner,475000.0,455407.85341953643
T. Walcott,12500000.0,8618837.137157772
A. Hadžiahmetović,1000000.0,1019959.3503165655
N. Atkinson,875000.0,903739.1106453281
Christovao,325000.0,328213.77919942554
L. Perea,70000.0,77214.76158458543
K. Ota,550000.0,674456.7119306976
J. Jach,775000.0,841402.1061537925
A. Živković,12500000.0,11779558.194566537
R. Civelli,2700000.0,5770538.43314083
D. Barinov,925000.0,934510.3757100643
E. Videla,2200000.0,1934436.3502656126
A. Ramírez,1800000.0,4719902.2972801
O. Ashoor,120000.0,118509.54741663128
J. Ertlthaler,650000.0,527305.8946570504
Im Seon Yeong,825000.0,783201.71770724
M. Milligan,1800000.0,1843312.4178536006
I. Fossum,5500000.0,5051023.720634485
Jesús Imaz,2500000.0,1934654.5046406353
A. Najem,220000.0,189525.10952474686
M. Ashimeru,450000.0,423377.5246989616
E. Marcondes,1200000.0,1174636.0509746887
K. Cissé,160000.0,389618.32080417575
J. Kovařík,3800000.0,3310693.6488198345
F. Montero,625000.0,560557.539307041
Padilhisco,4800000.0,4957009.982077728
R. Echeverría,1500000.0,1551206.737857675
A. Fisher,325000.0,224858.7475682729
Yeray,10500000.0,10942690.613930337
H. Tijanovich,325000.0,289627.5108452881
J. Stevens,50000.0,69428.42136872208
Grego Sierra,700000.0,705670.1958449328
L. Pérez,550000.0,389618.32080417575
D. Appiah,2300000.0,2065739.4493638994
T. Hayashi,250000.0,601069.5853417818
E. Bailly,21000000.0,21263718.482905976
Claiton,1300000.0,1446511.1200111585
A. Jahanbakhsh,11500000.0,11502305.611414243
G. Beretta,650000.0,485156.4607597763
F. Hanin,5500000.0,4644041.372837275
Z. Flemming,1100000.0,1096885.4933470758
P. Chato,290000.0,317967.84650851967
S. de Vrij,31500000.0,29551691.16444778
J. Geis,6000000.0,5768535.84516886
S. Bareiro,70000.0,69297.91049381951
Sérgio Oliveira,15500000.0,14629289.237968396
Elbis,325000.0,388403.9816045694
Y. Soma,150000.0,136690.73282711534
D. Lovren,975000.0,904142.5659298808
F. Manzo,230000.0,203769.61131428744
S. Giménez,200000.0,182495.37205773822
M. Ginter,15500000.0,14222069.356345141
S. Tonali,1800000.0,1827167.908489184
Rafael Zuchi,240000.0,265908.2911800451
O. Khan,625000.0,510826.7313224651
K. Manolas,37500000.0,30666880.230095826
G. Acampora,750000.0,723060.671949849
D. Hyam,400000.0,415823.7219369087
F. Sinclair-Smith,60000.0,56250.95599488802
Ji Dong Won,2500000.0,1565171.7917861782
R. Kirilov,0.0,177787.09622119353
S. Bakan,180000.0,175217.5760302538
N. Knothe,400000.0,423385.57287675113
Marc Roca,11500000.0,11919063.66203241
V. Kovalenko,8500000.0,7786400.959864195
R. Leipertz,1300000.0,1188184.7204987004
L. Matarese,450000.0,416054.8160177336
F. Bordagaray,950000.0,939095.2524226606
João Pedro,4100000.0,4452682.611628854
B. Touré,2500000.0,2473592.0721416483
M. Laurent,550000.0,484879.70378631726
L. Noriega,525000.0,782829.1113242613
A. Errico,200000.0,178497.681823692
R. Karsdorp,7500000.0,8541579.360176602
R. Solan,190000.0,168444.0639255211
Rafael Cachoira,5500000.0,5439858.302147085
Bicho,1100000.0,1025525.3905851165
R. D'Haese,350000.0,356161.4212626399
L. Janoszka,475000.0,515634.52531364263
F. Krovinović,14000000.0,13789470.271015165
A. Lioi,1400000.0,1246797.0706527731
V. Vanbaleghem,130000.0,138799.75965974818
H. Tekin,6000000.0,3803125.363191458
W. Boyle,250000.0,265908.2911800451
A. Gojak,1600000.0,1531444.5533119568
W. Fitzgerald,140000.0,126085.63374008419
G. Lux,325000.0,1014340.722057633
K. Edwards,975000.0,935323.696826539
A. Long,4500000.0,4670873.427307911
M. Juárez,150000.0,148454.5378965232
G. Pozos,120000.0,158722.11193152727
A. Benali,3600000.0,3330834.6219276576
E. O'Kane,750000.0,783201.71770724
E. Palacios,7000000.0,6912980.796116301
Kwak Kwang Sun,300000.0,389912.8854409279
W. Moimbé-Tahrat,575000.0,669651.8946792932
H. Pertuz,500000.0,483935.31732552196
S. Mielitz,625000.0,499598.66777730966
B. Santamaria,7500000.0,8400665.369219614
D. De fauw,120000.0,715695.3738743805
S. Hart,290000.0,317967.84650851967
R. Fujimura,80000.0,73278.62018422558
R. De Laet,1800000.0,2009401.4040084502
J. Brillante,1200000.0,1318737.113122234
J. Schunke,2100000.0,2158880.564895415
M. Sætra,130000.0,162776.88142894476
G. Milan,475000.0,484490.9148347958
J. Naismith,750000.0,772968.1863987391
K. Hyland,700000.0,782829.1113242613
E. Kılınç,1000000.0,955861.7403219865
Rogerinho,2700000.0,2765916.370827286
P. Sammarco,375000.0,782829.1113242613
M. Møller Dæhli,4200000.0,4011368.1358059268
M. Wieteska,575000.0,649428.1548641208
F. Beltrán,875000.0,836836.7551398372
G. Scalera,300000.0,326625.2627491381
J. Colman,775000.0,693618.4986387484
T. Baumgartl,8500000.0,8657641.350587638
A. Al Dawsari,220000.0,214348.123427942
H. Wright,875000.0,854718.8166224589
J. Sambenito,0.0,184132.15489482187
